,id_tweet,date_tweet,tweet,sentiment,indice_confiance
0,1303562161311023104,2020-09-09 05:13:32,I cant wait to experience the next level of flexible display! Thats got to be my favourite feature of the #GalaxyZFold2.,positive,0.99
1,1303562061784338432,2020-09-09 05:13:09,I cant wait to experience the next level of flexible display! Thats got to be my favourite feature of the #GalaxyZFold2.,positive,0.99
2,1303560774108012546,2020-09-09 05:08:02,RT @SamsungTurkiye: #GalaxyZFold2 ile Gelecee Merhaba! https://t.co/Sn5WjVH6tH,neutral,0.95
3,1303560407122980867,2020-09-09 05:06:34,RT @Samsung: Samsung experts explain the key camera features of #GalaxyZFold2 and how they work together with Flex mode to deliver innovati,neutral,1.0
4,1303560369114210305,2020-09-09 05:06:25,RT @SamsungIndia: The future is now. Get ready for #GalaxyZFold2  the phone that is designed to change the shape of the future. Which feat,neutral,0.9
5,1303560235785662464,2020-09-09 05:05:53,"The Samsung #GalaxyZFold2 retails at RM7,999! Costs less than the launch price of the original Galaxy Fold. https://t.co/y9gKY8YBi7",negative,0.55
6,1303560050292613120,2020-09-09 05:05:09,The initial shipment of #Samsungs third foldable phone #GalaxyZFold2 will more than triple the volume for the maid https://t.co/PItFFfn8RL,neutral,0.95
7,1303559466344804358,2020-09-09 05:02:50,RT @iaumreview:   #SepTECHber #iaumreview #igag #GalaxyZFold2 #Surfaceduo #iPhone12 #iPadAir4 #AppleWatchSeries6 https://t.co/,neutral,1.0
8,1303558423519195136,2020-09-09 04:58:41,I am excited to try out the #DualPreview feature on the #GalaxyZFold2 and capture my special moments in a whole new way!,positive,0.7
9,1303558295664246784,2020-09-09 04:58:11,RT @1Obefiend: Not gonna lie. This #GalaxyZFold2 feels 10x better than the original Fold. Very solid and nice in hand. Less gaps and looks,positive,0.88
10,1303557993594630145,2020-09-09 04:56:59,RT @SamsungIndia: The future is now. Get ready for #GalaxyZFold2  the phone that is designed to change the shape of the future. Which feat,neutral,0.9
11,1303557899877339141,2020-09-09 04:56:36,"I love the state-of-the-art #HideawayHinge mechanism on the #GalaxyZFold2, that is designed to smooth out every fold and unfold.",positive,0.99
12,1303557681211293698,2020-09-09 04:55:44,"RT @TamilTechOffici: #GalaxyZFold2    1st Sep 7.30pm IST. 

Watch it herehttps://t.co/MPSYdPycme#SamsungEvent @samsungi",neutral,0.95
13,1303556533523894274,2020-09-09 04:51:11,"RT @samsungID: Youve had a sneak peek, now watch the full version of @BTS_twt unboxing the new #GalaxyZFold2 earlier at Unpacked! #Galaxyx",neutral,0.96
14,1303556063057248256,2020-09-09 04:49:18,RT @SamsungIndia: Unfold a new era of working. Change the shape of the future with #GalaxyZFold2. Pre-order starts soon. Register now: http,neutral,0.89
15,1303555170085646336,2020-09-09 04:45:46,RT @TechnicalSkyin: Launching a new product of Samsung #GalaxyZFold2,neutral,1.0
16,1303555163093778432,2020-09-09 04:45:44,RT @Samsung: Samsung experts explain the key camera features of #GalaxyZFold2 and how they work together with Flex mode to deliver innovati,neutral,1.0
17,1303555004301623296,2020-09-09 04:45:06,"RT @SamsungMobile: Youve had a sneak peek, now watch the full version of @BTS_twt unboxing the new #GalaxyZFold2 earlier at Unpacked! #Gal",neutral,0.97
18,1303554554030481413,2020-09-09 04:43:19,I cant wait to experience the next level of flexible display! Thats got to be my favourite feature of the #GalaxyZFold2.,positive,0.99
19,1303553283026345984,2020-09-09 04:38:16,RT @TechnicalSkyin: Launching a new product of Samsung #GalaxyZFold2,neutral,1.0
20,1303552463476154369,2020-09-09 04:35:00,I am excited to try out the #DualPreview feature on the #GalaxyZFold2 and capture my special moments in a whole new way!,positive,0.7
21,1303549569611964416,2020-09-09 04:23:30,RT @1Obefiend: Not gonna lie. This #GalaxyZFold2 feels 10x better than the original Fold. Very solid and nice in hand. Less gaps and looks,positive,0.88
22,1303548565688516610,2020-09-09 04:19:31,RT @SamsungIndia: Unfold a new era of working. Change the shape of the future with #GalaxyZFold2. Pre-order starts soon. Register now: http,neutral,0.89
23,1303548063269650432,2020-09-09 04:17:31,"RT @SamsungMobile: Youve had a sneak peek, now watch the full version of @BTS_twt unboxing the new #GalaxyZFold2 earlier at Unpacked! #Gal",neutral,0.97
24,1303547528516743168,2020-09-09 04:15:24,RT @SamsungIndia: The future is now. Get ready for #GalaxyZFold2  the phone that is designed to change the shape of the future. Which feat,neutral,0.9
25,1303547448451760128,2020-09-09 04:15:05,"RT @SamsungMobile: A moment worth revisiting: first impressions of the #GalaxyZFold2 by the very fine gentlemen of @BTS_twt @BTS_bighit
Lea",positive,0.98
26,1303547258638491653,2020-09-09 04:14:19,"RT @SamsungMobile: Youve had a sneak peek, now watch the full version of @BTS_twt unboxing the new #GalaxyZFold2 earlier at Unpacked! #Gal",neutral,0.97
27,1303546942249529345,2020-09-09 04:13:04,RT @SamsungIndia: The future is now. Get ready for #GalaxyZFold2  the phone that is designed to change the shape of the future. Which feat,neutral,0.9
28,1303546740713422848,2020-09-09 04:12:16,"RT @TheKoreaHerald: Initial volume of Galaxy Z Fold2 to grow threefold 
#Samsung #GalaxyZFold2 #Initial #Volume
https://t.co/xsdKBMOZ4B",neutral,1.0
29,1303546703945936896,2020-09-09 04:12:07,I cant wait to experience the next level of flexible display! Thats got to be my favourite feature of the #GalaxyZFold2.,positive,0.99
30,1303546483031945216,2020-09-09 04:11:14,RT @TechnicalSkyin: Launching a new product of Samsung #GalaxyZFold2,neutral,1.0
31,1303546260327079936,2020-09-09 04:10:21,RT @Samsung: Samsung experts explain the key camera features of #GalaxyZFold2 and how they work together with Flex mode to deliver innovati,neutral,1.0
32,1303546083285508098,2020-09-09 04:09:39,Launching a new product of Samsung #GalaxyZFold2 https://t.co/FGpGSGbSLE,neutral,1.0
33,1303545695559806976,2020-09-09 04:08:07,"RT @LowyatNET: #Samsung #GalaxyZFold2 Price For Malaysia Is RM 7999; Pre-Order Opens On 11 September

https://t.co/F5YDhNj68n https://t.co/",neutral,1.0
34,1303544812130492418,2020-09-09 04:04:36,RT @SamsungMobileUS: The #GalaxyZFold2 5G is the revolutionary mobile experience you've been waiting for. Pre-order yours now.,neutral,0.94
35,1303544186017165314,2020-09-09 04:02:07,RT @Samsung: Samsung experts explain the key camera features of #GalaxyZFold2 and how they work together with Flex mode to deliver innovati,neutral,1.0
36,1303543658013048832,2020-09-09 04:00:01,"Initial volume of Galaxy Z Fold2 to grow threefold 
#Samsung #GalaxyZFold2 #Initial #Volume
https://t.co/xsdKBMOZ4B",neutral,1.0
37,1303543469420486656,2020-09-09 03:59:16,RT @Samsung: Samsung experts explain the key camera features of #GalaxyZFold2 and how they work together with Flex mode to deliver innovati,neutral,1.0
38,1303542143198191617,2020-09-09 03:54:00,"Surprisingly cheaper than the predecessor and it comes with an SD865+ chipset 

#GalaxyZFold2 
#TechNave 

https://t.co/eHo5ApEARW",positive,0.81
39,1303542002575798274,2020-09-09 03:53:26,RT @SamsungMobileUS: The #GalaxyZFold2 5G is the revolutionary mobile experience you've been waiting for. Pre-order yours now.,neutral,0.94
40,1303541884313190400,2020-09-09 03:52:58,I cant wait to experience the next level of flexible display! Thats got to be my favourite feature of the #GalaxyZFold2.,positive,0.99
41,1303541697104605185,2020-09-09 03:52:13,RT @Samsung: Samsung experts explain the key camera features of #GalaxyZFold2 and how they work together with Flex mode to deliver innovati,neutral,1.0
42,1303539506671304704,2020-09-09 03:43:31,"I love the state-of-the-art #HideawayHinge mechanism on the #GalaxyZFold2, that is designed to smooth out every fold and unfold.",positive,0.99
43,1303538357679480833,2020-09-09 03:38:57,"I love the state-of-the-art #HideawayHinge mechanism on the #GalaxyZFold2, that is designed to smooth out every fold and unfold.",positive,0.99
44,1303538014958673925,2020-09-09 03:37:35,"RT @SamsungMobile: Youve had a sneak peek, now watch the full version of @BTS_twt unboxing the new #GalaxyZFold2 earlier at Unpacked! #Gal",neutral,0.97
45,1303537771856801793,2020-09-09 03:36:38,"I love the state-of-the-art #HideawayHinge mechanism on the #GalaxyZFold2, that is designed to smooth out every fold and unfold.",positive,0.99
46,1303537343895228417,2020-09-09 03:34:55,RT @1Obefiend: First rear camera selfie using the #GalaxyZFold2  https://t.co/9uyASkSIuR,neutral,0.99
47,1303537043205550082,2020-09-09 03:33:44,RT @1Obefiend: Not gonna lie. This #GalaxyZFold2 feels 10x better than the original Fold. Very solid and nice in hand. Less gaps and looks,positive,0.88
48,1303536913261842434,2020-09-09 03:33:13,RT @Samsung: Samsung experts explain the key camera features of #GalaxyZFold2 and how they work together with Flex mode to deliver innovati,neutral,1.0
49,1303536676363411456,2020-09-09 03:32:16,"Samsung Galaxy Z Fold2 Berharga RM7999 Di Malaysia Dan Boleh Di Pra-Tempah Bermula 11 September.

#GalaxyZFold2 https://t.co/fJoPuDx2JZ",neutral,1.0
50,1303535987260141568,2020-09-09 03:29:32,"RT @LowyatNET: #Samsung #GalaxyZFold2 Price For Malaysia Is RM 7999; Pre-Order Opens On 11 September

https://t.co/F5YDhNj68n https://t.co/",neutral,1.0
51,1303535733525757952,2020-09-09 03:28:32,"For comparison, the original Galaxy Fold launched in Malaysia for RM 8388, so the new #GalaxyZFold2 is actually RM3 https://t.co/VYxahPUocK",neutral,0.99
52,1303535682254548993,2020-09-09 03:28:19,RT @Samsung: Samsung experts explain the key camera features of #GalaxyZFold2 and how they work together with Flex mode to deliver innovati,neutral,1.0
53,1303535673388019713,2020-09-09 03:28:17,RT @SamsungMobileUS: The #GalaxyZFold2 5G is the revolutionary mobile experience you've been waiting for. Pre-order yours now.,neutral,0.94
54,1303535656493342720,2020-09-09 03:28:13,"RT @SamsungMobile: Youve had a sneak peek, now watch the full version of @BTS_twt unboxing the new #GalaxyZFold2 earlier at Unpacked! #Gal",neutral,0.97
55,1303535562515570691,2020-09-09 03:27:51,RT @1Obefiend: Not gonna lie. This #GalaxyZFold2 feels 10x better than the original Fold. Very solid and nice in hand. Less gaps and looks,positive,0.88
56,1303535233610862592,2020-09-09 03:26:32,"RT @SamsungMobile: Youve had a sneak peek, now watch the full version of @BTS_twt unboxing the new #GalaxyZFold2 earlier at Unpacked! #Gal",neutral,0.97
57,1303535178002784257,2020-09-09 03:26:19,  #SepTECHber #iaumreview #igag #GalaxyZFold2 #Surfaceduo #iPhone12 #iPadAir4 #AppleWatchSeries6 https://t.co/vwKuLpxc59,neutral,1.0
